#timestamp tx ty tz qx qy qz qw
1706363052.263777666 -0.003574187 -0.014762634 -0.001795965 -0.008159795 0.888548987 -0.458347876 -0.018202717
1706363052.297144333 -0.003745547 -0.015047466 -0.001417361 -0.008006384 0.888358953 -0.458725213 -0.018040146
1706363052.330511000 -0.003846013 -0.015259893 -0.001296988 -0.007173983 0.888274291 -0.458916246 -0.017697390
1706363052.363877666 -0.003914744 -0.015383057 -0.001230379 -0.006778641 0.888312800 -0.458880579 -0.016823609
1706363052.664177666 -0.003968537 -0.019211077 -0.002687557 -0.000573188 0.886758773 -0.462012566 -0.014245635
1706363052.931111000 -0.004338060 -0.017094817 -0.005852388 0.003085402 0.886173938 -0.463193699 -0.011740071
1706363053.298144333 0.002922115 -0.005820246 -0.028853061 0.000651950 0.881926668 -0.471299411 -0.009043977
1706363053.498344333 0.016446363 -0.000871385 -0.068062645 -0.008168838 0.881425891 -0.472251661 -0.000194815
1706363053.965477666 0.015276646 -0.128735004 -0.290639352 -0.047857852 0.879381528 -0.472763648 0.029871166
1706363055.166677666 0.430646075 0.039520567 -1.258559777 -0.110210785 0.862376902 -0.485968374 0.089411420
1706363055.667177666 0.134041101 -0.088656719 -0.205577850 -0.136354298 0.855592988 -0.488884372 0.101785141
1706363056.034211000 0.184631857 -0.247220624 -0.021164603 -0.135051220 0.852270939 -0.496188521 0.095876827
1706363057.168677666 0.021704984 -0.405493977 0.007072289 -0.088021635 0.881677620 -0.463386889 0.013013733
1706363057.702544333 -0.049063682 -0.387713883 -0.012146246 -0.064502518 0.902061551 -0.426442318 -0.016472221
1706363059.137311000 -0.074466371 -0.524941537 -0.045246117 -0.083624164 0.894291033 -0.437464521 -0.043305195
1706363059.871377666 -0.087538328 -0.631070496 -0.025593412 -0.078844869 0.908221051 -0.407384140 -0.054370684
1706363060.605444333 -0.140154974 -0.753131748 0.079450277 -0.027469396 0.905254407 -0.421763451 -0.043306835
1706363061.105944333 -0.141636491 -0.778195481 0.182970918 -0.013717945 0.889847162 -0.454843995 -0.033178112
1706363061.439611000 -0.147809878 -0.817431882 0.242839612 -0.012709117 0.875637545 -0.482528081 -0.016248697
1706363062.106944333 -0.148551382 -0.859832878 0.326570196 -0.018400575 0.856293809 -0.515971491 -0.013991163
1706363063.007844333 -0.110878207 -0.942559434 0.444709955 -0.034264098 0.832077914 -0.553222989 0.020411780
1706363063.441611000 -0.045006561 -0.977231266 0.484335964 -0.050104377 0.807232595 -0.584706421 0.063114900
1706363064.042211000 0.073742514 -1.020785694 0.492342521 -0.116900808 0.802072024 -0.574000311 0.116354258
1706363065.109944333 0.102928649 -0.992340682 0.417703181 -0.178731428 0.835611498 -0.510239445 0.097284173
1706363066.244411000 0.164062298 -0.983782563 0.315449486 -0.235710528 0.829781432 -0.500092265 0.076230234
1706363066.878377666 0.287928770 -0.966292677 0.254998426 -0.318393240 0.801238450 -0.497427078 0.095963495
1706363067.512344333 0.394065221 -0.918993314 0.210159339 -0.387298458 0.783757180 -0.469496505 0.123683547
1706363068.279777666 0.474002229 -0.838177212 0.128869922 -0.468367155 0.765884805 -0.419793673 0.133513840
1706363069.047211000 0.580444658 -0.733847428 0.097155478 -0.512250795 0.757663643 -0.373776000 0.154390507
1706363069.480977666 0.655562277 -0.667060666 0.114488225 -0.507352392 0.741693337 -0.382969858 0.214052874
