#timestamp tx ty tz qx qy qz qw
1706363052.197044333 -0.003532733 -0.014715085 -0.001860314 -0.009010708 0.889186478 -0.457085672 -0.018409299
1706363052.230411000 -0.003592718 -0.014776967 -0.001675763 -0.009399215 0.888956523 -0.457521270 -0.018499793
1706363052.263777666 -0.003629431 -0.014821221 -0.001656231 -0.009861763 0.888620751 -0.458156369 -0.018672098
1706363052.297144333 -0.003645306 -0.014854807 -0.001653631 -0.009479140 0.888680216 -0.458060451 -0.018391360
1706363052.564077666 -0.003782204 -0.013915945 -0.001367921 -0.002983092 0.888633879 -0.458338785 -0.015699968
1706363052.730911000 -0.004904194 -0.014714525 -0.001129723 -0.000276641 0.888586772 -0.458508350 -0.013548621
1706363052.897744333 -0.004940222 -0.013221635 -0.002117986 0.001589950 0.888293224 -0.459118861 -0.011936991
1706363053.331511000 0.008689310 -0.011966797 -0.032997288 -0.000407222 0.883727376 -0.467946422 -0.007204447
1706363053.865377666 0.098129195 -0.043793917 -0.239977363 -0.034304880 0.880700788 -0.471939651 0.021500286
1706363055.099944333 0.602878927 0.008583149 -1.165261291 -0.100973024 0.863052338 -0.488128645 0.081703956
1706363055.533711000 0.444938954 0.159231413 -0.597473037 -0.124400115 0.854160471 -0.496527871 0.091621912
1706363055.967477666 0.183535881 0.157481862 -0.237624627 -0.135961571 0.838821317 -0.517913118 0.098281491
1706363056.267777666 0.178519817 0.203340507 -0.231488269 -0.130342876 0.833167781 -0.529863618 0.089926247
1706363056.401244333 0.205889785 0.111640072 -0.207774691 -0.122221742 0.836693261 -0.527539775 0.081902489
1706363056.534711000 0.246587253 -0.227664519 -0.134069982 -0.116644544 0.848046100 -0.512830298 0.064938031
1706363057.302144333 0.046182383 -0.633693817 -0.293341588 -0.076771607 0.878015594 -0.472433609 0.001105584
1706363058.169677666 0.031003688 -0.605790091 -0.252632521 -0.058660859 0.903159875 -0.423316708 -0.040793491
1706363059.103944333 0.130142286 -0.697592133 -0.217800835 -0.083386696 0.891069245 -0.443566702 -0.047862726
